"","Product.Group.ID","Product.Group.Name.x","Business.Unit","MIN.Start.Month.Group","MIN.Effective.Start.Date","MAX.End.Month.Group","MAX.Effective.End.Date","Billed.Account.ID","Billed.Account.Name","Account.Name","Finance.Tier","Customer.Support.Tier","Based.Country","Geography..G.","Division..D.","Region..R.","Area..A.","Territory..T.","Product.Group.tier.2","Product.Group.tier.3","Product.Group.tier.4","Hyp...Business.Unit","Total.Past.12.Months.Dollar","Estm.Historical.Monthly.Rev","Contract.Months.Remaining","Contract.Remaining.Value..Q3.2014.to.Q2.2015.","Contract.Remaining.Value..Q4.2014.to.Q3.2015.","Contract.Remaining.Value..Total."
"9783","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","12/1/13 0:00","12/1/13 0:00","11/30/14 0:00","11/30/14 0:00","B-3-VH6I0N","AT&T Services, Inc.","Supreme Court of the US Virgin Islands","","E","Virgin Islands (U.s.)","Americas","Enterprise","Public Sector","Civilian","Civilian","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.19","$0.02",5,"$0.08","$0.08","$0.08"
"9786","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","5/1/10 0:00","5/18/10 0:00","5/31/15 0:00","5/16/15 0:00","F-AC-139260","Cires21, S.L.","Cires21, S.L.","","E","Spain","EMEA","SER","Spain","Spain","Spain","HD Network","Video Delivery Group","Media Delivery","Media BU","$1,949.75","$162.48",11,"$1,787.27","$1,787.27","$1,787.27"
"9790","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","9/1/10 0:00","9/1/10 0:00","8/31/14 0:00","8/14/14 0:00","F-AC-140943","Synchrone Media Inc.","Synchrone Media Inc.","","E","Canada","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$1.73","$0.14",2,"$0.29","$0.00","$0.29"
"9792","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","12/1/13 0:00","12/1/13 0:00","11/30/14 0:00","11/30/14 0:00","B-3-VH6I0N","AT&T Services, Inc.","Chorus Call - AT&T","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG High Tech","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.04","$0.00",5,"$0.02","$0.02","$0.02"
"9793","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","3/1/14 0:00","3/1/14 0:00","2/29/16 0:00","2/29/16 0:00","F-AC-1497646","City of Rancho Mirage","City of Rancho Mirage","","E","USA","Americas","Enterprise","Public Sector","Civilian","Civilian","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,237.38","$186.45",20,"$2,237.38","$2,237.38","$3,728.97"
"9794","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","4/1/14 0:00","4/1/14 0:00","3/31/16 0:00","3/31/16 0:00","F-AC-1558933","T2 Digital Inc","T2 Digital Inc","","E","USA","Americas","Enterprise","Enterprise East","Media East","Media East","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,522.61","$210.22",21,"$2,522.61","$2,522.61","$4,414.56"
"9806","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","7/1/13 0:00","7/17/13 0:00","10/31/14 0:00","10/31/14 0:00","F-AC-240479","The Church Online, LLC","The Church Online, LLC","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$4,017.03","$334.75",4,"$1,339.01","$0.00","$1,339.01"
"9811","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","12/1/12 0:00","12/17/12 0:00","4/30/15 0:00","4/30/15 0:00","F-AC-298302","DaCast LLC","DaCast LLC","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$24,171.12","$2,014.26",10,"$20,142.60","$20,142.60","$20,142.60"
"9814","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","1/1/11 0:00","1/1/11 0:00","4/30/15 0:00","4/30/15 0:00","F-AC-336124","NowLive, LLC","NowLive, LLC","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$5,193.07","$432.76",10,"$4,327.56","$4,327.56","$4,327.56"
"9815","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","8/1/13 0:00","8/1/13 0:00","1/31/15 0:00","1/31/15 0:00","F-AC-411092","College TV Ticket","College TV Ticket","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.25","$0.02",7,"$0.15","$0.15","$0.15"
"9816","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","1/1/13 0:00","1/1/13 0:00","12/31/14 0:00","12/31/14 0:00","F-AC-414800","Thomson Video Networks SAS","Thomson Video Networks SAS","","E","France","EMEA","SER","DM France","DM France","DM France","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.11","$0.01",6,"$0.06","$0.06","$0.06"
"9820","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","4/1/11 0:00","4/18/11 0:00","7/31/14 0:00","7/1/14 0:00","F-AC-470141","Todocast, Inc","Todocast, Inc","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$1,532.47","$127.71",1,"$127.71","$0.00","$127.71"
"9825","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","5/1/12 0:00","5/15/12 0:00","5/31/15 0:00","5/14/15 0:00","F-AC-571849","Caption Colorado","Caption Colorado","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.01","$0.00",11,"$0.01","$0.01","$0.01"
"9826","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","9/1/11 0:00","9/1/11 0:00","8/31/14 0:00","8/31/14 0:00","F-AC-573966","Victory.com","Victory.com","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.00","$0.00",2,"$0.00","$0.00","$0.00"
"9827","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","1/1/12 0:00","1/16/12 0:00","1/31/15 0:00","1/15/15 0:00","1-3YFXV5","OMNITEC Solutions, Inc.","US Dept of Housing and Urban Development","","E","USA","Americas","Enterprise","Public Sector","Civilian","Civilian","HD Network","Video Delivery Group","Media Delivery","Media BU","$10,205.00","$850.42",7,"$5,952.92","$5,952.92","$5,952.92"
"9830","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","11/1/11 0:00","11/1/11 0:00","10/31/14 0:00","10/31/14 0:00","F-AC-585078","Times Square Church","Times Square Church","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$6,645.76","$553.81",4,"$2,215.25","$0.00","$2,215.25"
"9831","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","8/1/11 0:00","8/31/11 0:00","8/31/14 0:00","8/31/14 0:00","F-AC-608495","Spreecast Inc","Spreecast Inc","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$4,142.25","$345.19",2,"$690.38","$0.00","$690.38"
"9834","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","2/1/12 0:00","2/6/12 0:00","2/29/16 0:00","2/5/16 0:00","F-AC-662296","Digicast.ca","Digicast.ca","","E","Canada","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$13,821.68","$1,151.81",20,"$13,821.68","$13,821.68","$23,036.13"
"9836","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","11/1/11 0:00","11/1/11 0:00","10/31/14 0:00","10/31/14 0:00","F-AC-700411","Allegro DVT","Allegro DVT","","E","France","EMEA","SER","ECG SER","ECG SER","ECG SER","HD Network","Video Delivery Group","Media Delivery","Media BU","$31.11","$2.59",4,"$10.37","$0.00","$10.37"
"9838","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","11/1/11 0:00","11/1/11 0:00","6/30/15 0:00","6/30/15 0:00","F-AC-707191","Webpix Consultancy Services Private Limited","Webpix Consultancy Services Private Limited","","E","India","APJ","INDIA","INDIA","ECG INDIA","ECG INDIA","HD Network","Video Delivery Group","Media Delivery","Media BU","$39.15","$3.26",12,"$39.15","$39.15","$39.15"
"9839","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","1/1/12 0:00","1/1/12 0:00","12/31/14 0:00","12/31/14 0:00","F-AC-707292","TVGO.ca","TVGO.ca","","E","Canada","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,042.93","$170.24",6,"$1,021.46","$1,021.46","$1,021.46"
"9840","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","9/1/11 0:00","9/22/11 0:00","9/30/14 0:00","9/21/14 0:00","F-AC-737980","4AM SA","4AM SA","","E","Switzerland","EMEA","SER","ECG SER","ECG SER","ECG SER","HD Network","Video Delivery Group","Media Delivery","Media BU","$12.34","$1.03",3,"$3.08","$0.00","$3.08"
"9842","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","11/1/11 0:00","11/1/11 0:00","8/31/14 0:00","8/31/14 0:00","F-AC-748184","Concert Window, Inc.","Concert Window, Inc.","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$7,387.61","$615.63",2,"$1,231.27","$0.00","$1,231.27"
"9844","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","5/1/12 0:00","5/15/12 0:00","5/31/15 0:00","5/14/15 0:00","F-AC-774784","Vodalys","Vodalys","","E","France","EMEA","SER","DM France","DM France","DM France","HD Network","Video Delivery Group","Media Delivery","Media BU","$60.72","$5.06",11,"$55.66","$55.66","$55.66"
"9848","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","3/1/12 0:00","3/1/12 0:00","12/31/14 0:00","12/31/14 0:00","1-TRXBV","Arturai Tecnologias De Informacao, LDA","A Bola","","E","Portugal","EMEA","SER","Spain","Spain","Spain","HD Network","Video Delivery Group","Media Delivery","Media BU","$59,681.05","$4,973.42",6,"$29,840.52","$29,840.52","$29,840.52"
"9849","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","4/1/12 0:00","4/1/12 0:00","3/31/15 0:00","3/31/15 0:00","F-AC-788419","Entity X Streaming","Entity X Streaming","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$525.42","$43.79",9,"$394.07","$394.07","$394.07"
"9852","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","12/1/11 0:00","12/1/11 0:00","12/31/14 0:00","12/31/14 0:00","B-3-QCCVOP","Brightcove, Inc. (fbo Korea)","Cheil Worldwide Inc.","","E","Korea","APJ","NORTH ASIA","KOREA","KOREA STRATEGIC","KOREA STRATEGIC","HD Network","Video Delivery Group","Media Delivery","Media BU","-$625.17","-$52.10",6,"-$312.58","-$312.58","-$312.58"
"9855","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","3/1/12 0:00","3/1/12 0:00","2/28/15 0:00","2/28/15 0:00","F-AC-835795","Classic Video","Classic Video","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$1,135.07","$94.59",8,"$756.71","$756.71","$756.71"
"9857","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","1/1/12 0:00","1/17/12 0:00","1/31/15 0:00","1/31/15 0:00","AANA-5CUS4I","Fox Networks Group, Inc.","Fox Sports Interactive Media LLC FS2GO","","E","USA","Americas","Industry","Media","Media","Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$1,800.33","$150.03",7,"$1,050.19","$1,050.19","$1,050.19"
"9859","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","11/1/12 0:00","11/1/12 0:00","10/31/14 0:00","10/31/14 0:00","1-T0MDV5","Mobile Rider LLC","Evntlive","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,086.43","$173.87",4,"$695.48","$0.00","$695.48"
"9860","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","5/1/13 0:00","5/1/13 0:00","4/30/15 0:00","4/30/15 0:00","F-AC-886816","Budovideos.com","Budovideos.com","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$9,813.60","$817.80",10,"$8,178.00","$8,178.00","$8,178.00"
"9861","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","4/1/12 0:00","4/1/12 0:00","7/31/14 0:00","7/31/14 0:00","F-AC-886920","Kadamba Technologies Pvt Ltd","Kadamba Technologies Pvt Ltd","","E","India","APJ","INDIA","INDIA","ECG INDIA","ECG INDIA","HD Network","Video Delivery Group","Media Delivery","Media BU","$13,241.13","$1,103.43",1,"$1,103.43","$0.00","$1,103.43"
"9866","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","11/1/13 0:00","11/14/13 0:00","1/31/15 0:00","1/31/15 0:00","F-AC-414812","Mosaico Produzioni SRL","THE EUROPEAN HOUSE - AMBROSETTI","","E","Italy","EMEA","SER","Italy","Italy","Italy","HD Network","Video Delivery Group","Media Delivery","Media BU","$4,829.64","$402.47",7,"$2,817.29","$2,817.29","$2,817.29"
"9867","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","10/1/12 0:00","10/1/12 0:00","9/30/14 0:00","9/30/14 0:00","F-AC-981956","Intelligence Inc","Intelligence Inc","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$702.74","$58.56",3,"$175.68","$0.00","$175.68"
"9869","B-3-A0PMH8","HD LIVE ADOBE FLASH","Media","10/1/11 0:00","10/31/11 0:00","1/31/15 0:00","1/31/15 0:00","1-4ZQ835","Piksel Americas Inc.","Herbalife International of America","","E","USA","Americas","Enterprise","Enterprise West","West","SoCal","HD Network","Video Delivery Group","Media Delivery","Media BU","$579.07","$48.26",7,"$337.79","$337.79","$337.79"
"9876","B-3-A0PMJR","HD OD ADOBE FLASH","Media","6/1/12 0:00","6/1/12 0:00","5/31/15 0:00","5/31/15 0:00","1-11POZG1","24 Frames Digital","24 Frames Digital","","E","India","APJ","INDIA","INDIA","ECG INDIA","ECG INDIA","HD Network","Video Delivery Group","Media Delivery","Media BU","$92.19","$7.68",11,"$84.51","$84.51","$84.51"
"9882","B-3-A0PMJR","HD OD ADOBE FLASH","Media","4/1/13 0:00","4/1/13 0:00","3/31/15 0:00","3/31/15 0:00","1-14539AP","IEC in Sports","IEC in Sports","","E","Sweden","EMEA","SEB","ECG SEB","ECG SEB","ECG SEB","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.00","$0.00",9,"$0.00","$0.00","$0.00"
"9884","B-3-A0PMJR","HD OD ADOBE FLASH","Media","11/1/12 0:00","11/16/12 0:00","11/30/14 0:00","11/15/14 0:00","1-145UU59","Synacor, Inc","Synacor, Inc","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$6,778.00","$564.83",5,"$2,824.17","$2,824.17","$2,824.17"
"9913","B-3-A0PMJR","HD OD ADOBE FLASH","Media","10/1/08 0:00","10/31/08 0:00","3/31/16 0:00","3/31/16 0:00","1-2J8WO","ScreenPlay, Inc.","ScreenPlay, Inc.","C","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$22.56","$1.88",21,"$22.56","$22.56","$39.48"
"9925","B-3-A0PMJR","HD OD ADOBE FLASH","Media","1/1/12 0:00","1/1/12 0:00","12/31/14 0:00","12/31/14 0:00","1-2ZCIFQ","Panhandle Area Educational Consortium","Panhandle Area Educational Consortium","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$7.53","$0.63",6,"$3.76","$3.76","$3.76"
"9928","B-3-A0PMJR","HD OD ADOBE FLASH","Media","5/1/07 0:00","5/1/07 0:00","7/31/14 0:00","7/31/14 0:00","1-3542OR","France Televisions / Pole France 5 Education","France Televisions / Pole France 5 Education","E","E","France","EMEA","SER","DM France","DM France","DM France","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,147.73","$178.98",1,"$178.98","$0.00","$178.98"
"9938","B-3-A0PMJR","HD OD ADOBE FLASH","Media","8/1/09 0:00","8/17/09 0:00","9/30/14 0:00","9/30/14 0:00","1-159W2KT","DLT Solutions, LLC.","Southwest Florida Water District","E","E","USA","Americas","Enterprise","Public Sector","Civilian","Civilian","HD Network","Video Delivery Group","Media Delivery","Media BU","$13.61","$1.13",3,"$3.40","$0.00","$3.40"
"9941","B-3-A0PMJR","HD OD ADOBE FLASH","Media","7/1/10 0:00","7/1/10 0:00","11/30/14 0:00","11/30/14 0:00","1-3R7XT2","Movideo Pty Ltd.","Movideo Pty Ltd.","B","E","Australia","APJ","SOUTH ASIA","ANZ","ECG ANZ","ECG ANZ","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.00","$0.00",5,"$0.00","$0.00","$0.00"
"9946","B-3-A0PMJR","HD OD ADOBE FLASH","Media","7/1/05 0:00","7/1/05 0:00","7/31/14 0:00","7/31/14 0:00","1-3W9T7L","DxVideo","DxVideo","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.00","$0.00",1,"$0.00","$0.00","$0.00"
"9954","B-3-A0PMJR","HD OD ADOBE FLASH","Media","5/1/10 0:00","5/18/10 0:00","4/30/16 0:00","4/30/16 0:00","1-3XTF9A","TVB.COM Limited","TVB.COM Limited","","E","Hong Kong","APJ","NORTH ASIA","HKT","HONG KONG","HONG KONG","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.00","$0.00",22,"$0.00","$0.00","$0.00"
"9969","B-3-A0PMJR","HD OD ADOBE FLASH","Media","2/1/14 0:00","2/18/14 0:00","7/31/14 0:00","7/16/14 0:00","1-4E47WP","Aftonbladet Hierta AB","Aftonbladet Hierta AB","","E","Sweden","EMEA","SEB","Nordics","DM Nordics","DM Nordics","HD Network","Video Delivery Group","Media Delivery","Media BU","$2.95","$0.25",1,"$0.25","$0.00","$0.25"
"9972","B-3-A0PMJR","HD OD ADOBE FLASH","Media","2/1/03 0:00","2/15/03 0:00","7/31/14 0:00","7/31/14 0:00","1-4HHX7","NetRoadshow, Inc.","NetRoadshow, Inc.","E","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$5.85","$0.49",1,"$0.49","$0.00","$0.49"
"9974","B-3-A0PMJR","HD OD ADOBE FLASH","Media","3/1/12 0:00","3/1/12 0:00","2/28/15 0:00","2/28/15 0:00","1-4IFYP5","Streamlivemedia","Streamlivemedia","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$181.08","$15.09",8,"$120.72","$120.72","$120.72"
"9976","B-3-A0PMJR","HD OD ADOBE FLASH","Media","12/1/05 0:00","12/5/05 0:00","3/31/15 0:00","3/31/15 0:00","1-4MGKVD","American Association of Airport Executives (AAAE)","American Association of Airport Executives (AAAE)","D","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Enterprise","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,108.52","$175.71",9,"$1,581.39","$1,581.39","$1,581.39"
"9980","B-3-A0PMJR","HD OD ADOBE FLASH","Media","10/1/11 0:00","10/10/11 0:00","10/31/14 0:00","10/9/14 0:00","1-12J29TB","DIGIPLUG SAS","Universal Music France","B","E","France","EMEA","SER","DM France","DM France","DM France","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,069.33","$172.44",4,"$689.78","$0.00","$689.78"
"9981","B-3-A0PMJR","HD OD ADOBE FLASH","Media","7/1/09 0:00","7/19/09 0:00","7/31/15 0:00","7/18/15 0:00","1-51S7TL","Digotel Sarl","Digotel Sarl","E","E","Switzerland","EMEA","SER","DM France","DM France","DM France","HD Network","Video Delivery Group","Media Delivery","Media BU","$9.93","$0.83",13,"$9.93","$10.75","$10.75"
"9998","B-3-A0PMJR","HD OD ADOBE FLASH","Media","9/1/09 0:00","9/15/09 0:00","8/31/15 0:00","8/31/15 0:00","1-61TW99","Nobel Media AB","Nobel Media AB","","E","Sweden","EMEA","SEB","Nordics","ESS Nordics","ESS Nordics","HD Network","Video Delivery Group","Media Delivery","Media BU","-$11,625.34","-$968.78",14,"-$11,625.34","-$13,562.90","-$13,562.90"
"10056","B-3-A0PMJR","HD OD ADOBE FLASH","Media","4/1/14 0:00","4/1/14 0:00","3/31/15 0:00","3/31/15 0:00","AANA-5LVEHD","Haivision","Mars Hill Church/Acts 29 Network","","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$9.75","$0.81",9,"$7.31","$7.31","$7.31"
"10059","B-3-A0PMJR","HD OD ADOBE FLASH","Media","5/1/10 0:00","5/10/10 0:00","7/31/14 0:00","7/9/14 0:00","1-P7VURF","Meteo Consult","Meteo Consult","","E","France","EMEA","SER","ECG SER","ECG SER","ECG SER","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,946.09","$245.51",1,"$245.51","$0.00","$245.51"
"10064","B-3-A0PMJR","HD OD ADOBE FLASH","Media","4/1/12 0:00","4/25/12 0:00","10/31/15 0:00","10/17/15 0:00","1-T9P92H","Adform ApS","Adform ApS","","E","Denmark","EMEA","SEB","Nordics","DM Nordics","DM Nordics","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.00","$0.00",16,"$0.00","$0.00","$0.00"
"10068","B-3-A0PMJR","HD OD ADOBE FLASH","Media","9/1/12 0:00","9/1/12 0:00","8/31/14 0:00","8/31/14 0:00","1-V9RWRQ","Celanese International Corporation","Celanese International Corporation","","E","USA","Americas","Enterprise","Enterprise West","West","Southwest","HD Network","Video Delivery Group","Media Delivery","Media BU","$15,094.86","$1,257.91",2,"$2,515.81","$0.00","$2,515.81"
"10085","B-3-A0PMJR","HD OD ADOBE FLASH","Media","7/1/12 0:00","7/1/12 0:00","6/30/15 0:00","6/30/15 0:00","149-1C85","Empreinte Multimedia","Empreinte Multimedia","E","E","France","EMEA","SER","ECG SER","ECG SER","ECG SER","HD Network","Video Delivery Group","Media Delivery","Media BU","$1,009.08","$84.09",12,"$1,009.08","$1,009.08","$1,009.08"
"10086","B-3-A0PMJR","HD OD ADOBE FLASH","Media","8/1/09 0:00","8/5/09 0:00","8/31/16 0:00","8/4/16 0:00","1-AB9G7","Telefonica Soluciones de Informatica y Comunicaciones de Espana, S.A.","Bankinter","E","E","Spain","EMEA","SER","Spain","Spain","Spain","HD Network","Video Delivery Group","Media Delivery","Media BU","$11.73","$0.98",26,"$11.73","$11.73","$25.42"
"10114","B-3-A0PMJR","HD OD ADOBE FLASH","Media","4/1/12 0:00","4/1/12 0:00","9/30/15 0:00","9/30/15 0:00","AANA-1LKNFG","Funny or Die","Funny or Die","D","E","USA","Americas","Enterprise","Enterprise West","Media West","Media West","HD Network","Video Delivery Group","Media Delivery","Media BU","$7,483.51","$623.63",15,"$7,483.51","$9,354.39","$9,354.39"
"10115","B-3-A0PMJR","HD OD ADOBE FLASH","Media","3/1/10 0:00","3/22/10 0:00","7/31/15 0:00","7/31/15 0:00","AANA-1VK2DU","Immersive Media Company","Immersive Media Company","N1","E","Canada","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$1.06","$0.09",13,"$1.06","$1.15","$1.15"
"10130","B-3-A0PMJR","HD OD ADOBE FLASH","Media","3/1/11 0:00","3/1/11 0:00","3/31/15 0:00","3/31/15 0:00","AANA-2SH5P3","AMP INTERACTIVE","AMP INTERACTIVE","","E","France","EMEA","SER","ECG SER","ECG SER","ECG SER","HD Network","Video Delivery Group","Media Delivery","Media BU","$1,299.85","$108.32",9,"$974.89","$974.89","$974.89"
"10134","B-3-A0PMJR","HD OD ADOBE FLASH","Media","12/1/08 0:00","12/30/08 0:00","2/28/15 0:00","2/28/15 0:00","AANA-2T9R9B","Bill Young Productions, Inc.","Bill Young Productions, Inc.","D","E","USA","Americas","Enterprise","Enterprise West","Media West","Media West","HD Network","Video Delivery Group","Media Delivery","Media BU","$277.26","$23.11",8,"$184.84","$184.84","$184.84"
"10138","B-3-A0PMJR","HD OD ADOBE FLASH","Media","5/1/12 0:00","5/1/12 0:00","1/31/16 0:00","1/31/16 0:00","AANA-2ZLA62","Unisys Infosolutions Pvt Ltd","Unisys Infosolutions Pvt Ltd","","E","USA","APJ","INDIA","INDIA","INDIA MEDIA","INDIA MEDIA","HD Network","Video Delivery Group","Media Delivery","Media BU","$8.08","$0.67",19,"$8.08","$8.08","$12.79"
"10140","B-3-A0PMJR","HD OD ADOBE FLASH","Media","12/1/08 0:00","12/1/08 0:00","4/30/15 0:00","4/30/15 0:00","13C-QHI","Atoll Impressions Ltd.","Zougla","C","E","Greece","EMEA","SEB","Emerging","GREETS","GREETS","HD Network","Video Delivery Group","Media Delivery","Media BU","$2,357.04","$196.42",10,"$1,964.20","$1,964.20","$1,964.20"
"10146","B-3-A0PMJR","HD OD ADOBE FLASH","Media","9/1/12 0:00","9/1/12 0:00","9/30/14 0:00","9/24/14 0:00","AANA-3LEB68","KT Corporation","KT Corporation","","E","Korea","APJ","NORTH ASIA","KOREA","KOREA PARTNER","KOREA PARTNER","HD Network","Video Delivery Group","Media Delivery","Media BU","-$250.03","-$20.84",3,"-$62.51","$0.00","-$62.51"
"10148","B-3-A0PMJR","HD OD ADOBE FLASH","Media","3/1/11 0:00","3/15/11 0:00","4/30/15 0:00","4/30/15 0:00","AANA-3LZZ7P","Medialets","Medialets","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$295.51","$24.63",10,"$246.26","$246.26","$246.26"
"10155","B-3-A0PMJR","HD OD ADOBE FLASH","Media","8/1/09 0:00","8/30/09 0:00","8/31/14 0:00","8/29/14 0:00","AANA-42RKRC","Admotion USA Incorporated","Admotion USA Incorporated","E","E","USA","Americas","Channel Direct","Platform Partners","Platform Partners","Platform Partners","HD Network","Video Delivery Group","Media Delivery","Media BU","$9,726.15","$810.51",2,"$1,621.02","$0.00","$1,621.02"
"10156","B-3-A0PMJR","HD OD ADOBE FLASH","Media","5/1/09 0:00","5/24/09 0:00","8/31/15 0:00","8/31/15 0:00","AANA-42UL9M","City Life TV, Ltd","City Life TV, Ltd","E","E","United Kingdom","EMEA","UKI","ECG UKI","ECG UKI","ECG UKI","HD Network","Video Delivery Group","Media Delivery","Media BU","$0.25","$0.02",14,"$0.25","$0.30","$0.30"
"10166","B-3-A0PMJR","HD OD ADOBE FLASH","Media","10/1/10 0:00","10/1/10 0:00","9/30/14 0:00","9/30/14 0:00","AANA-52NIJT","King Schools, Inc.","King Schools, Inc.","","E","USA","Americas","Enterprise","Emerging North America","ECG North America","ECG Media","HD Network","Video Delivery Group","Media Delivery","Media BU","$20.61","$1.72",3,"$5.15","$0.00","$5.15"
